web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708114537-21","https://www.expat-dakar.com/appartements-meubles?page=49","Chambre meublée Hann Maristes
1 chambre20 m²
Hann maristes,
Dakar

12. déc. '23, 10:59

17 000 F Cfa

776447400

776342092

775342092","https://www.expat-dakar.com/annonce/chambre-meublee-hann-maristes-3385561","Chambre meublée Hann Maristes","1","1","20 m²","Hann maristes","Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec4370276d7a8ec0df6f014238e8b891/-/horizon-files-prod/ed/picture/q29g4pq/5d4965170912342dac4524610f235ee9d9dbf8e7.jpg"
"1708114539-22","https://www.expat-dakar.com/appartements-meubles?page=49","Appartement meublé aux mamelles
3 chambre140 m²
Mamelles,
Dakar

12. déc. '23, 14:02

Vendeur vérifié

600 000 F Cfa

775440981","https://www.expat-dakar.com/annonce/appartement-meuble-aux-mamelles-5892371","Appartement meublé aux mamelles","3","4","140 m²","Mamelles","Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be2c8343ab1748a13fad746d28f5d64e/-/horizon-files-prod/ed/picture/qngxxj0g/4daf880dfaeb8b2fd58fe8b7c8e3c27205851f9a.jpg"
"1708114544-23","https://www.expat-dakar.com/appartements-meubles?page=48","Bel appartement à louer à Mermoz

Mermoz,
Dakar

16. déc. '23, 11:16

Vendeur vérifié

950 000 F Cfa

775440981","https://www.expat-dakar.com/annonce/bel-appartement-a-louer-a-mermoz-5958880","Bel appartement à louer à Mermoz","","","","Mermoz","Dakar","950 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4ba5c36187b203029b8d1a06e07ce5ec/-/horizon-files-prod/ed/picture/qkrg0dz8/b2cb34cbc369744bb1fe2132c581279884cfaeed.jpg"
"1708114546-24","https://www.expat-dakar.com/appartements-meubles?page=48","Appartement de luxe
3 chambre150 m²
Mamelles,
Dakar

16. déc. '23, 10:40

70 000 F Cfa

772462310

778625026

784647225","https://www.expat-dakar.com/annonce/appartement-de-luxe-5958921","Appartement de luxe","3","","150 m²","Mamelles","Dakar","70 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1437ec6633ce39a01cdebbbec57d9497/-/horizon-files-prod/ed/picture/qzvdxqmv/3e309bcb8610331b71c91615a27d42f6341eae01.jpg"
"1708114549-25","https://www.expat-dakar.com/appartements-meubles?page=48","appt Ouakam corniche
2 chambre150 m²
Ouakam,
Dakar

12. déc. '23, 16:29

35 000 F Cfa

771184549","https://www.expat-dakar.com/annonce/appt-ouakam-corniche-2995572","appt Ouakam corniche","2","3","150 m²","Ouakam","Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0e70e706b82c68fa73a1ba1eb29077c/-/horizon-files-prod/ed/picture/qw57npk/2661cb4b96215c6c1cd2caf5b62f10d0b614fab8.jpg"
"1708114551-26","https://www.expat-dakar.com/appartements-meubles?page=48","Luxueux appartement à MERMOZ
2 chambre
Mermoz,
Dakar

13. déc. '23, 08:42

700 000 F Cfa

771820475","https://www.expat-dakar.com/annonce/luxueux-appartement-a-mermoz-5959049","Luxueux appartement à MERMOZ","2","2","","Mermoz","Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/62b9994e5fd2d0d12448dbf083dbfb2f/-/horizon-files-prod/ed/picture/qngxw8gm/889b91fa123b61af5f02c2d7b2cfc0c3aa05560c.jpg"
"1708114553-27","https://www.expat-dakar.com/appartements-meubles?page=48","STUDIO MEUBLE A LOUER AUX MAMELLES
1 chambre
Mamelles,
Dakar

13. déc. '23, 14:44

Vendeur vérifié

500 000 F Cfa

772953810

775941402","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-aux-mamelles-5959677","STUDIO MEUBLE A LOUER AUX MAMELLES","1","","","Mamelles","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e533c8bb2fab0670ce297818fb694c2/-/horizon-files-prod/ed/picture/qxj2qmkq/8781a32a418885c0e4c3d27f64de087344ec1dfc.jpg"
"1708114556-28","https://www.expat-dakar.com/appartements-meubles?page=48","Tres Chic Appartementa louer au Virage non loin de la mer
3 chambre
Virage,
Dakar

13. déc. '23, 15:42

40 000 F Cfa

771800548","https://www.expat-dakar.com/annonce/tres-chic-appartementa-louer-au-virage-non-loin-de-la-mer-5275099","Tres Chic Appartementa louer au Virage non loin de la mer","3","3","","Virage","Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5386b439cd5031fea169a94edeb6c0e/-/horizon-files-prod/ed/picture/qxjdzk48/42ca4e86a8cfd6abe7881c2089f85a0029764b0f.jpg"
"1708114558-29","https://www.expat-dakar.com/appartements-meubles?page=48","Appartement meublé climatisé Fadia
3 chambre150 m²
Parcelles Assainies,
Dakar

13. déc. '23, 16:00

25 000 F Cfa

777217421","https://www.expat-dakar.com/annonce/appartement-meuble-climatise-fadia-5360770","Appartement meublé climatisé Fadia","3","","150 m²","Parcelles Assainies","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/df7d0c1b82b9edafa1deba74dcb2efa2/-/horizon-files-prod/ed/picture/q9m0eg4n/f70981cc4d85257c8367e730ef9c8cbe88b7d04e.jpg"
"1708114561-30","https://www.expat-dakar.com/appartements-meubles?page=48","Luxueux studio à MERMOZ
1 chambre
Mermoz,
Dakar

30. nov. '23, 08:33

650 000 F Cfa

771820475","https://www.expat-dakar.com/annonce/luxueux-studio-a-mermoz-5869966","Luxueux studio à MERMOZ","1","2","","Mermoz","Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f851508e9b1e0f9209ddb279f6c1737/-/horizon-files-prod/ed/picture/q6xkxn78/5b13d2d949354d608d92b94b9b748743161482ec.jpg"
