web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708113120-198","https://www.expat-dakar.com/appartements-a-louer?page=31","APPARTEMENT F4 CITE AFRICA ( Ouakam) Vue sur Mer
3 chambre185 m²
Ouakam,
Dakar

6. déc. '23, 09:25

1 800 000 F Cfa

338496384","https://www.expat-dakar.com/annonce/appartement-f4-cite-africa-ouakam-vue-sur-mer-5937336","APPARTEMENT F4 CITE AFRICA ( Ouakam) Vue sur Mer","3","5","","Ouakam","Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e20995170dea0c1c37a9292ba45eca88/-/horizon-files-prod/ed/picture/qkrg6d8w/9a42f80de2991e18b5eec7fd6dbd785d2bfb8e40.jpg"
"1708113123-199","https://www.expat-dakar.com/appartements-a-louer?page=31","Appartement à louer à Yoff derrière Onomo Hôtel

Yoff,
Dakar

21. déc. '23, 13:55

795 000 F Cfa

784403914","https://www.expat-dakar.com/annonce/appartement-a-louer-a-yoff-derriere-onomo-hotel-5963212","Appartement à louer à Yoff derrière Onomo Hôtel","","","","Yoff","Dakar","795 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/168d4d88fb1d88f095d4e854981106ed/-/horizon-files-prod/ed/picture/qm5pdm7r/8d9f4ea2dc8c4d86253e57a5387794fe6a916d6d.jpg"
"1708113126-200","https://www.expat-dakar.com/appartements-a-louer?page=31","Allmadies zone de recasment
3 chambre190 m²
Almadies,
Dakar

27. janv., 23:58

Vendeur vérifié

450 000 F Cfa

781156032","https://www.expat-dakar.com/annonce/allmadies-zone-de-recasment-5991696","Allmadies zone de recasment","3","4","","Almadies","Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb8feac05ef3b83687dc2718e9ff7e28/-/horizon-files-prod/ed/picture/q8v5x8d6/9714a6a597cdfd6209483ec185627859f64ba622.jpg"
"1708113128-201","https://www.expat-dakar.com/appartements-a-louer?page=31","Appartement spacieux aux Mamelles
3 chambre
Mamelles,
Dakar

29. janv., 11:30

450 000 F Cfa

777488842","https://www.expat-dakar.com/annonce/appartement-spacieux-aux-mamelles-5987635","Appartement spacieux aux Mamelles","3","3","","Mamelles","Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/28cbf0f4a7f97bb928a4384661a4f4c5/-/horizon-files-prod/ed/picture/qgq9j49m/822a8b63dcaeaaa517909f9c81a26968342481bc.jpg"
"1708113131-202","https://www.expat-dakar.com/appartements-a-louer?page=31","UN APPARTEMNT NEUF A LOUER AU VIRAGE PIEDS DANS L' EAU
3 chambre247 m²
Virage,
Dakar

29. janv., 11:43

2 700 000 F Cfa

774061261

766804402

708026718","https://www.expat-dakar.com/annonce/un-appartemnt-neuf-a-louer-au-virage-pieds-dans-l-eau-5992491","UN APPARTEMNT NEUF A LOUER AU VIRAGE PIEDS DANS L' EAU","3","5","","Virage","Dakar","2 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ebe5ebc33b6626641d79117f1fb4e6f6/-/horizon-files-prod/ed/picture/q0gw0jwm/43a0fc46cf552fd81a78efb9458a2e62abac0635.jpg"
"1708113136-203","https://www.expat-dakar.com/appartements-a-louer?page=30","Grand Appartement type F4 moderne, lumineux et très spacieux
3 chambre
Almadies,
Dakar

29. janv., 12:00

759 000 F Cfa

770107474

775847575

778785858","https://www.expat-dakar.com/annonce/grand-appartement-type-f4-moderne-lumineux-et-tres-spacieux-5918120","Grand Appartement type F4 moderne, lumineux et très spacieux","3","4","Lieux : Zone de recasement derrière Philippe Morris

À 759.000F","Almadies","Dakar","759 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f2dadb3c4ab727d3b26ef8e3d610584e/-/horizon-files-prod/ed/picture/qenqre72/5418f8fb1bcacd71292650f3e97d9e2981880564.jpg"
"1708113139-204","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartement F4 moderne spacieux lumineux et neuf
3 chambre
Almadies,
Dakar

29. janv., 12:01

700 000 F Cfa

770107474

775847575

778785858","https://www.expat-dakar.com/annonce/appartement-f4-moderne-spacieux-lumineux-et-neuf-5918101","Appartement F4 moderne spacieux lumineux et neuf","3","3","","Almadies","Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f959de49617ecb87cd853cf302c75a14/-/horizon-files-prod/ed/picture/q785jz9d/e6b9dfbe9d82a43e3fb34334474f66fca98c4a96.jpg"
"1708113141-205","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartement grand standing à louer à dieupeul
3 chambre150 m²
Dieuppeul,
Dakar

jeudi, 15:12

700 000 F Cfa

776953266","https://www.expat-dakar.com/annonce/appartement-grand-standing-a-louer-a-dieupeul-5992539","Appartement grand standing à louer à dieupeul","3","","","Dieuppeul","Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/50db45843fd8ab56d103e4aa8f830abb/-/horizon-files-prod/ed/picture/q2jqn67q/7cba92be558b36d96560005d60953c17da06be8b.jpg"
"1708113145-206","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartement 4 chambres salon neuf corniche des Almadies
4 chambre283 m²
Almadies,
Dakar

29. janv., 12:26

2 000 000 F Cfa

774633788

776686666","https://www.expat-dakar.com/annonce/appartement-4-chambres-salon-neuf-corniche-des-almadies-5983912","Appartement 4 chambres salon neuf corniche des Almadies","4","5","","Almadies","Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a9b6588bfbea93503abe36539e09f95/-/horizon-files-prod/ed/picture/qm5p48dm/626e4a5144cf6ce55cf9b5f0f9d4f814f3fa2d7f.jpg"
"1708113147-207","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartements haut standing tout neuf à louer au centre ville
2 chambre
Plateau,
Dakar

29. janv., 12:31

850 000 F Cfa

760185419

767261726","https://www.expat-dakar.com/annonce/appartements-haut-standing-tout-neuf-a-louer-au-centre-ville-5992538","Appartements haut standing tout neuf à louer au centre ville","2","2","Appartement F3 composition : Deux (2) chambres, salon Prix : 850 000 f

Appartement F4 composition : Trois (3) chambres, salon Prix : 1 000 000 f","Plateau","Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/82c3a1b1c7e488808513842cdf58711b/-/horizon-files-prod/ed/picture/qpd6qe0w/cc8f65071d6a1888124cf03e2d9572b08b6068f1.png"
"1708113150-208","https://www.expat-dakar.com/appartements-a-louer?page=30","F4 A LOUER
3 chambre150 m²
VDN,
Dakar

29. janv., 12:41

450 000 F Cfa

775599232

783910606","https://www.expat-dakar.com/annonce/f4-a-louer-5992553","F4 A LOUER","3","3","","VDN","Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb3c2f8f26c0daf9c8be05ebaed794cd/-/horizon-files-prod/ed/picture/q448qv0v/c0254be5f003c5c2a940d3419bede354a285ac11.jpg"
"1708113152-209","https://www.expat-dakar.com/appartements-a-louer?page=30","F3 spacieux et lumineux à louer à Mermoz

Mermoz,
Dakar

30. janv., 14:57

Vendeur vérifié

950 000 F Cfa

774063403","https://www.expat-dakar.com/annonce/f3-spacieux-et-lumineux-a-louer-a-mermoz-5992764","F3 spacieux et lumineux à louer à Mermoz","","","","Mermoz","Dakar","950 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8fa785ece5b355bc7746f375c78fb1d/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qenqjekx/c134f1a0ed0dfa4be48913a9174fed01d94c80a1.jpg"
"1708113154-210","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartement f5 à louer au mamelle
4 chambre170 m²
Mamelles,
Dakar

1. févr., 07:11

550 000 F Cfa

774357705

774357705

774357705","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-au-mamelle-5970292","Appartement f5 à louer au mamelle","4","2","","Mamelles","Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a0c3f6a47bf2c54f25576398c1b35ae/-/horizon-files-prod/ed/picture/q9m9wz5p/49a644b6f6fbd07ab17a9fe460a868d1b505d74d.jpg"
"1708113157-211","https://www.expat-dakar.com/appartements-a-louer?page=30","APPARTEMENT F3 TOUT NEUF À LOUER AU CENTRE VILLE (REBEUSS)
2 chambre
Plateau,
Dakar

29. janv., 21:14

Vendeur vérifié

400 000 F Cfa

774723333","https://www.expat-dakar.com/annonce/appartement-f3-tout-neuf-a-louer-au-centre-ville-rebeuss-5958257","APPARTEMENT F3 TOUT NEUF À LOUER AU CENTRE VILLE (REBEUSS)","2","","Prix: 400.000 FCFA","Plateau","Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84afe9344cd623e63fc56a2bdd3d3b52/-/horizon-files-prod/ed/picture/qgq98j8n/6a3013e3e80f4057bd45c470bd3371c25249ea42.jpg"
"1708113160-212","https://www.expat-dakar.com/appartements-a-louer?page=30","Appartement F3 à louer au Virage
2 chambre1 m²
Virage,
Dakar

30. janv., 09:52

650 000 F Cfa

338496384","https://www.expat-dakar.com/annonce/appartement-f3-a-louer-au-virage-5539220","Appartement F3 à louer au Virage","2","2","","Virage","Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dfa20740ba32039656582b4c15aa421e/-/horizon-files-prod/ed/picture/qennzvzk/de4276a17c1a19f44eeb48140a383a6fbc896e36.jpg"
"1708113165-213","https://www.expat-dakar.com/appartements-a-louer?page=29","Appartement à louer à Dakar-Plateau
3 chambre
Plateau,
Dakar

30. janv., 09:52

1 000 000 F Cfa

338496384","https://www.expat-dakar.com/annonce/appartement-a-louer-a-dakar-plateau-5767264","Appartement à louer à Dakar-Plateau","3","2","","Plateau","Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/53fbadcd0530ae04ef3a6582181a4318/-/horizon-files-prod/ed/picture/qen5mm4x/61e2341671354e909538275b9a38ddcaca969e91.jpg"
"1708113167-214","https://www.expat-dakar.com/appartements-a-louer?page=29","BEL APPARTEMENT AUX MAMELLES CITÉ MACKYIOU Faye
2 chambre
Mamelles,
Dakar

30. janv., 11:23

250 000 F Cfa

773256969

778445757

786096161","https://www.expat-dakar.com/annonce/bel-appartement-aux-mamelles-cite-mackyiou-faye-5993286","BEL APPARTEMENT AUX MAMELLES CITÉ MACKYIOU Faye","2","","","Mamelles","Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c70806a59a0b7fbdc1185be394d71af9/-/horizon-files-prod/ed/picture/qenqj445/3321dd783f254c90dba262c7f609ce316f6a7d3b.jpg"
"1708113170-215","https://www.expat-dakar.com/appartements-a-louer?page=29","Appartement neuf à Yoff Aéroport.
3 chambre
Yoff,
Dakar

30. janv., 11:56

450 000 F Cfa

778727979

766377247

772699661","https://www.expat-dakar.com/annonce/appartement-neuf-a-yoff-aeroport-5913785","Appartement neuf à Yoff Aéroport.","3","2","","Yoff","Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f31f2f20f6ee6fd2b3409490fe061e7/-/horizon-files-prod/ed/picture/q56xpz8g/b8372df1fb301ec3a5e5eff9ffbb1eea9bd691f5.jpg"
"1708113172-216","https://www.expat-dakar.com/appartements-a-louer?page=29","IMMEUBLE NEUF R+4 DE 4 APPARTEMENTS
3 chambre
Ngor,
Dakar

30. janv., 13:59

750 000 F Cfa

773256969

778445757

786096161","https://www.expat-dakar.com/annonce/immeuble-neuf-r4-de-4-appartements-5993456","IMMEUBLE NEUF R+4 DE 4 APPARTEMENTS","3","","","Ngor","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/56c541d04a10f3844825fe95585e6124/-/horizon-files-prod/ed/picture/qm5p9xp2/e4d91de7e3ff739a738e67582c2eb493365c806f.jpg"
